"Date";"D0";"D1";"Value"
"2015";"EH";"AP";"157.08767036"
"2015";"EH";"TP";"160.12516009"
"2015";"MH";"TP1";"131.08459148"
"2015";"MH";"TP2";"126.7158894"
"2015";"MH";"TP";"132.94373923"
"2015";"MW";"AP";"152.86292554"
"2015";"BF";"AP";"126.44798869"
"2015";"GF";"AP";"109.03225287"
"2015";"VF";"AP";"118.17492962"
"2016";"EW";"TP3";
"2016";"EW";"TP1";"207.99738373"
"2016";"EW";"TP2";"178.62498162"
"2016";"EW";"AP";"181.12001741"
"2016";"EW";"TP";"191.96914489"
"2016";"EH";"TP3";
"2016";"EH";"TP1";"171.22774517"
"2016";"EH";"TP2";"162.64936676"
"2016";"EH";"AP";"159.14265554"
"2016";"EH";"TP";"162.72990434"
"2016";"MH";"TP1";"139.23323506"
"2016";"MH";"TP2";"126.74790929"
"2016";"MH";"TP";"141.68029837"
"2016";"MW";"AP";"150.93606593"
"2016";"BF";"AP";"127.9802563"
"2016";"GF";"AP";"113.41653645"
"2016";"VF";"AP";"114.43460368"
"2017";"EW";"TP3";"94.05203744"
"2017";"EW";"TP1";"199.63100874"
"2017";"EW";"TP2";"183.58651443"
"2017";"EW";"AP";"181.49390152"
"2017";"EW";"TP";"191.71665696"
"2017";"EH";"TP3";"93.17806043"
"2017";"EH";"TP1";"164.92359914"
"2017";"EH";"TP2";"167.19774847"
"2017";"EH";"AP";"162.94586477"
"2017";"EH";"TP";"165.87469382"
"2017";"MH";"TP1";"143.05802044"
"2017";"MH";"TP2";"131.44541551"
"2017";"MH";"TP";"145.1955059"
"2017";"MW";"AP";"149.48225695"
"2017";"BF";"AP";"126.72999751"
"2017";"GF";"AP";"113.02584769"
"2017";"VF";"AP";"114.62879352"
"2018";"EW";"TP3";"96.73581976"
"2018";"EW";"TP1";"213.79277822"
"2018";"EW";"TP2";"184.95369236"
"2018";"EW";"AP";"177.9924255"
"2018";"EW";"TP";"196.80581235"
"2018";"EH";"TP3";"96.05583609"
"2018";"EH";"TP1";"174.48166012"
"2018";"EH";"TP2";"171.7198941"
"2018";"EH";"AP";"164.81184756"
"2018";"EH";"TP";"170.87087859"
"2018";"MH";"TP1";"151.87794749"
"2018";"MH";"TP2";"137.40111505"
"2018";"MH";"TP";"143.9073091"
"2018";"MW";"AP";"146.34026876"
"2018";"BF";"AP";"123.9445417"
"2018";"GF";"AP";"111.1930386"
"2018";"VF";"AP";"114.77169895"
"2019";"EW";"TP3";"100"
"2019";"EW";"TP1";"219.16022577"
"2019";"EW";"TP2";"186.00970255"
"2019";"EW";"AP";"175.06810225"
"2019";"EW";"TP";"201.5719847"
"2019";"EH";"TP3";"100"
"2019";"EH";"TP1";"179.21763034"
"2019";"EH";"TP2";"172.31616858"
"2019";"EH";"AP";"165.64064825"
"2019";"EH";"TP";"177.0463757"
"2019";"MH";"TP1";"157.66338671"
"2019";"MH";"TP2";"142.51864688"
"2019";"MH";"TP";"142.31842832"
"2019";"MW";"AP";"144.41277685"
"2019";"BF";"AP";"123.81109685"
"2019";"GF";"AP";"112.29414457"
"2019";"VF";"AP";"115.79827276"
"2020";"EW";"TP3";"102.18595412"
"2020";"EW";"TP1";"227.56112107"
"2020";"EW";"TP2";"192.46337041"
"2020";"EW";"AP";"174.40251326"
"2020";"EW";"TP";"207.38101226"
"2020";"EH";"TP3";"102.78347647"
"2020";"EH";"TP1";"188.93596602"
"2020";"EH";"TP2";"177.02196675"
"2020";"EH";"AP";"169.4955415"
"2020";"EH";"TP";"184.71324742"
"2020";"MH";"TP1";"160.518362"
"2020";"MH";"TP2";"144.60370677"
"2020";"MH";"TP";"147.1975936"
"2020";"MW";"AP";"142.22038583"
"2020";"BF";"AP";"124.99525876"
"2020";"GF";"AP";"109.91852086"
"2020";"VF";"AP";"115.536478"
"2021";"EW";"TP3";"107.7843842"
"2021";"EW";"TP1";"238.04436033"
"2021";"EW";"TP2";"201.60239134"
"2021";"EW";"AP";"177.5982708"
"2021";"EW";"TP";"221.18678791"
"2021";"EH";"TP3";"108.95377664"
"2021";"EH";"TP1";"198.81562028"
"2021";"EH";"TP2";"186.14019606"
"2021";"EH";"AP";"180.04779256"
"2021";"EH";"TP";"197.45186214"
"2021";"MH";"TP1";"164.6348747"
"2021";"MH";"TP2";"148.70413622"
"2021";"MH";"TP";"154.7653991"
"2021";"MW";"AP";"138.32147121"
"2021";"BF";"AP";"123.77740711"
"2021";"GF";"AP";"115.47270712"
"2021";"VF";"AP";"115.22064653"
"2022";"EW";"TP3";"113.77666298"
"2022";"EW";"TP1";"252.97451036"
"2022";"EW";"TP2";"210.57970304"
"2022";"EW";"AP";"181.86871692"
"2022";"EW";"TP";"235.85651196"
"2022";"EH";"TP3";"116.88658809"
"2022";"EH";"TP1";"208.47465958"
"2022";"EH";"TP2";"198.15870441"
"2022";"EH";"AP";"188.47185267"
"2022";"EH";"TP";"212.2700891"
"2022";"MH";"TP1";"168.90349511"
"2022";"MH";"TP2";"157.72997815"
"2022";"MH";"TP";"162.84351779"
"2022";"MW";"AP";"138.87250527"
"2022";"BF";"AP";"121.2369797"
"2022";"GF";"AP";"118.65766518"
"2022";"VF";"AP";"110.30931021"
"2023";"EW";"TP3";"116.55960507"
"2023";"EW";"TP1";"258.79191781"
"2023";"EW";"TP2";"219.15519185"
"2023";"EW";"AP";"187.65850071"
"2023";"EW";"TP";"242.81611725"
"2023";"EH";"TP3";"119.14105981"
"2023";"EH";"TP1";"217.0201939"
"2023";"EH";"TP2";"208.44563169"
"2023";"EH";"AP";"189.89819161"
"2023";"EH";"TP";"215.95620245"
"2023";"MH";"TP1";"151.00526197"
"2023";"MH";"TP2";"164.98530852"
"2023";"MH";"TP";"161.1521189"
"2023";"MW";"AP";"142.71913077"
"2023";"BF";"AP";"118.59719644"
"2023";"GF";"AP";"117.25156031"
"2023";"VF";"AP";"111.54872279"
"2024";"EW";"TP3";"119.26441666"
"2024";"EW";"TP1";"262.93657673"
"2024";"EW";"TP2";"227.29455579"
"2024";"EW";"AP";"188.50189079"
"2024";"EW";"TP";"252.63988536"
"2024";"EH";"TP3";"120.4590903"
"2024";"EH";"TP1";"224.22493187"
"2024";"EH";"TP2";"216.49533713"
"2024";"EH";"AP";"191.53726134"
"2024";"EH";"TP";"221.9372949"
"2024";"MH";"TP1";"159.04105308"
"2024";"MH";"TP2";"168.55458449"
"2024";"MH";"TP";"161.7162652"
"2024";"MW";"AP";"149.40143244"
"2024";"BF";"AP";"117.90373068"
"2024";"GF";"AP";"119.40105881"
"2024";"VF";"AP";"111.64174481"
